source_path,destination_path,classification,status,sha256,action,reason,error
/var/www/stellcodex/docs/v6/V6_05_VIEWER_PIPELINE_META_CONTRACT.md,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/var/www/stellcodex/docs/v6/V6_05_VIEWER_PIPELINE_META_CONTRACT.md,Output contracts,legacy/deprecated,bd510239500059e5e9ee44523e156d8cc9a2aeed858c3331e0cd13ab560a5a08,copied,legacy_or_conflict,
/var/www/stellcodex/docs/v6/V6_08_CODEX_MEGA_PROMPT_V6.md,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/var/www/stellcodex/docs/v6/V6_08_CODEX_MEGA_PROMPT_V6.md,Unknown/Unclassified,legacy/deprecated,5fa1ca90cb3cff1a98fb9b2966bb53adfafd1d3dd1ecef191d7f2fe934f86423,copied,legacy_or_conflict,
/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003318/seed.json,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003318/seed.json,Output contracts,legacy/deprecated,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,copied,legacy_or_conflict,
/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/cleanup.txt,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/cleanup.txt,Output contracts,legacy/deprecated,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,copied,legacy_or_conflict,
/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/db_schema_check.txt,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/db_schema_check.txt,Output contracts,legacy/deprecated,e0ae1d792ff3f444f89c6dce46e744ded97b2435508a30c6e9fb6a39e87fdf26,copied,legacy_or_conflict,
/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/endpoint_check.txt,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/endpoint_check.txt,Output contracts,legacy/deprecated,31b05f656382fa619fe97b7f367a8143fa85a2f7860f8624de0d2829b1727890,copied,legacy_or_conflict,
/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/expire.json,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/expire.json,Output contracts,legacy/deprecated,e41656eb2ba6c6293bf6dd928e5a88cdbc50535cab661c1969e0f598e497ed62,copied,legacy_or_conflict,
/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/openapi.json,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/openapi.json,Output contracts,legacy/deprecated,2df8ae8721ccf8d31d220f8ef65271fbd85d232ad3068b34b006e2d0df421fd0,copied,legacy_or_conflict,
/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/openapi_check.txt,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/openapi_check.txt,Output contracts,legacy/deprecated,29f6fe1979f1e74c8fc4e6c3f68e4bd9250259d5d44187d58565b8cc20002c31,copied,legacy_or_conflict,
/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/revoke_after.json,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/revoke_after.json,Output contracts,legacy/deprecated,544bc38e2d87b2f32cc7e518607a01cb2bde3d6348b9bbdec0f41e7846705dac,copied,legacy_or_conflict,
/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/revoke_before.json,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/revoke_before.json,Output contracts,legacy/deprecated,e41656eb2ba6c6293bf6dd928e5a88cdbc50535cab661c1969e0f598e497ed62,copied,legacy_or_conflict,
/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/revoke_response.json,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/revoke_response.json,Output contracts,legacy/deprecated,a29ee2b15c494311c52521766e44af56a3ad2248e7a8ab465e5206463c13d288,copied,legacy_or_conflict,
/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/seed.json,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003420/seed.json,Output contracts,legacy/deprecated,04e8e83a34ad76442312738be66167c0e346ba41cf8f9a58111a8bb0a8ccdb6d,copied,legacy_or_conflict,
/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003753/backend_tail.txt,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/var/www/stellcodex/evidence/v6_fix_04_share_contract_20260227_003753/backend_tail.txt,Output contracts,legacy/deprecated,fbc26a567cd8369243873ad06977d676271bd8c9122cc824786af4a1b0ed4ca6,copied,legacy_or_conflict,
